id_a,id_b,cosine_distance
20,788,0.035938568555122175
20,785,0.03135301323855895
20,648,0.03097238176958125
21,868,0.1394217425754793
21,338,0.10877696903476321
21,788,0.09695077044148603
21,875,0.08479888857943116
21,648,0.07557998915886924
21,153,0.06965704064628761
21,1013,0.06798132075601454
21,354,0.056292047933180114
21,242,0.053715935879045745
21,651,0.0490905816042355
22,338,0.10561651817437384
22,868,0.08833013164590325
22,875,0.08233510674446132
22,153,0.06763319629765181
22,1013,0.06600616346325078
22,651,0.047664283627330675
22,788,0.03479237360042066
22,785,0.030353066189092944
22,648,0.029984574265091102
22,316,0.029618468063251396
23,868,0.13643688784903046
23,338,0.11483586302561825
23,875,0.11375685337184246
23,153,0.07935007838610042
23,1013,0.07744117580550533
23,930,0.06694901671037012
23,785,0.061976992286917595
23,242,0.05700126792225727
23,832,0.04778663914939857
23,316,0.04536027676959948
24,338,0.10878195949475948
24,868,0.09097748125920346
24,651,0.08954789861628401
24,875,0.08480277897521014
24,153,0.06966023636572978
24,648,0.06845699621634778
24,1013,0.06798443959693039
24,354,0.05629463049468933
24,753,0.04282652038609541
24,756,0.04000315490333326
25,1013,0.1355680380686767
25,651,0.10235632362830696
25,868,0.09297488733052556
25,338,0.09210975062451092
25,875,0.0866646197653225
25,138,0.08176448956405316
25,153,0.07118962338679072
25,997,0.05331170129476074
25,765,0.043009471642993825
25,785,0.03980454066986263
26,338,0.10666070404416635
26,868,0.08920341431925635
26,875,0.08314911914078443
26,153,0.06830185712006517
26,1013,0.06665873849979713
26,354,0.05519688145311466
26,651,0.048135520251276855
26,788,0.035136351091045
26,785,0.030653154123891177
26,648,0.030281019076002783
27,338,0.10848059273229835
27,868,0.09072543956854728
27,875,0.08456784352206914
27,153,0.06946725142591696
27,1013,0.06779609724168859
27,7,0.061182900639183246
27,995,0.060739113956063684
27,785,0.05733079869238718
27,354,0.05613867328804471
27,784,0.055841996748230614
28,338,0.1077211819327222
28,868,0.09009032247645439
28,875,0.08397583225028335
28,153,0.06898095079258712
28,1013,0.06732149540630311
28,354,0.05574567843343488
28,651,0.048614109393717485
28,788,0.0354856955262848
28,785,0.030957924211939915
28,648,0.03058208919794518
29,338,0.10826875408684446
29,875,0.0975276481239917
29,788,0.09690307642386486
29,868,0.08884776476026761
29,153,0.06802954102602055
29,1013,0.06639297343765106
29,651,0.04794360633542841
29,833,0.04347463204199784
29,997,0.03931224105448247
29,765,0.03151393983452023
30,338,0.11564584361134164
30,868,0.09671794494897346
30,875,0.09015363356868723
30,153,0.074055632368604
30,1013,0.07227409679093036
30,308,0.05464641941646459
30,651,0.05219047536780433
30,296,0.04138399242284352
30,788,0.03809625109605137
30,486,0.03720793782609971
31,611,0.08098802402220778
31,398,0.07243394918951859
31,564,0.05927990943567532
31,523,0.05605633352012485
31,845,0.055662587973321145
31,668,0.046717946576206607
31,593,0.041133265579788955
31,242,0.03613288156080801
31,221,0.03602886103180159
31,138,0.03520654459587315
32,118,0.10118008857269206
32,668,0.061355087337951315
32,762,0.0575230272888373
32,593,0.054020677000997164
32,262,0.05274039287867531
32,845,0.05023092483023231
32,765,0.04954807100929113
32,138,0.043304807730201726
32,413,0.040211580212511866
32,540,0.036289055088611286
33,545,0.07939604189736968
