id_a,id_b,cosine_distance
9,27,0.13149337582879542
9,160,0.12729014763201416
9,18,0.12314169267644952
9,14,0.12232836672097697
9,23,0.11449535290002893
9,337,0.1142522730945677
10,273,0.17824345804943265
10,236,0.16657964242018655
10,427,0.15922306668108357
10,406,0.15486186728672197
10,270,0.14620764759800323
10,233,0.14056427797868765
10,755,0.1268085278770045
10,109,0.12390408643621587
10,642,0.12173942455981704
10,759,0.11688649287089505
11,534,0.11312888533065221
11,1015,0.09791294746449127
11,445,0.09382026358182805
11,382,0.08925318412477588
11,101,0.08049593266152229
11,755,0.08013760988915013
11,855,0.07664940437310772
11,932,0.07554835575471204
11,499,0.07058443802919862
11,443,0.06770713836775172
12,523,0.3586637771136285
12,545,0.19882964699202238
12,1015,0.18208282828157565
12,714,0.15338054984559546
12,826,0.1502540983568421
12,666,0.13857128710339442
12,771,0.13653350558691596
12,986,0.13246979372732431
12,2,0.12032037337949325
12,643,0.1143080902111098
13,227,0.28022755793872706
13,798,0.24701383059526683
13,1033,0.19856851126162578
13,81,0.1956242811276014
13,773,0.18348005033181358
13,659,0.17215677848107594
13,671,0.16158147642962373
13,554,0.1585004311033038
13,213,0.1512774199702818
13,597,0.14868638090319866
14,158,0.19166844789396736
14,427,0.16085632498668856
14,227,0.15953066044232958
14,357,0.15143924411099235
14,671,0.14963608551257787
14,192,0.14528840361872186
14,191,0.14511920428975636
14,426,0.1424609699863127
14,798,0.1386888454506827
14,349,0.13767200461526088
15,773,0.2790975703603269
15,657,0.1907831166152604
15,227,0.17943599217771639
15,798,0.1759504485380104
15,554,0.14978609085470065
15,349,0.14048886652273718
15,170,0.13978644724673284
15,426,0.1388069537618258
15,824,0.1252748534885715
15,81,0.12485445042090813
16,480,0.2135082044199151
16,798,0.20213183120397418
16,357,0.1724224629679361
16,227,0.15918554692752118
16,1033,0.15828579492307693
16,43,0.14186228724920702
16,175,0.137790206711671
16,158,0.13460861852304923
16,349,0.1322950889559915
16,671,0.12804992226857292
17,798,0.23470889756419522
17,480,0.20897480523914297
17,227,0.19275465446661946
17,1002,0.180202654622521
17,671,0.17529533250745108
17,773,0.17392142289541632
17,218,0.1692128630838938
17,168,0.16740491028551874
17,1033,0.1661715404682826
17,192,0.16075839233632214
18,158,0.21818877387664815
18,299,0.17989316306832603
18,43,0.15441329604258547
18,357,0.15244611987672177
18,773,0.13966406989345026
18,798,0.13961094750078895
18,596,0.13248155220803942
18,9,0.12314169267644952
18,349,0.12258661955171402
18,748,0.11649876079980069
19,218,0.20672256394085203
19,596,0.14982761111856313
19,798,0.13815435069687138
19,1033,0.13201969043271505
19,158,0.13053664414316402
19,748,0.12757002353064056
19,72,0.1263433790615643
19,1002,0.1244358972939935
19,773,0.12302607300181898
19,168,0.1136796604043886
20,983,0.2145568108092384
20,671,0.21165409620963066
20,657,0.2090407320348718
20,798,0.20018334840601784
20,357,0.1707603684770626
20,227,0.15765105185060005
20,1033,0.15675997315254517
20,43,0.14049478256309508
20,175,0.13646195551093054
20,158,0.13331103676125258
21,357,0.20053715592852567
21,798,0.1995980709710616
21,43,0.16938413844729147
21,227,0.15719012638412155
21,1033,0.15630165293899556
21,868,0.1394217425754793
21,1012,0.13875253137638469
21,158,0.13292127436458845
21,349,0.130636745322484
21,671,0.12644479259187072
22,175,0.20773680909373726
22,798,0.1937988664084584
22,357,0.1653142786443198
22,227,0.1526230597101398
22,1033,0.15176040033842475
22,43,0.13601395827292576
22,158,0.12905932491281286
22,349,0.12684117151842844
22,671,0.12277101350899315
22,773,0.12254129617905422
23,427,0.328087388711462
23,426,0.2747915273272908
23,349,0.23482983423782092
23,798,0.22737288909089295
23,480,0.22180778367273365
23,913,0.20934690571287468
23,357,0.20759843932016897
23,1033,0.20132153296289856
